name,url,price,revenue,profit,description,source,category
SBA Pre-Qualified: 8-Year-Old Multi-Channel Well Diversified Pet Supplement Business,https://quietlight.com/ecommerce-businesses-for-sale/,"$850,000","$994,203","$242,829",,QuietLight,Amazon FBA
Women’s 3 SKU Beauty Brand With No Inventory Requirements – Low Multiple,https://quietlight.com/ecommerce-businesses-for-sale/,"$785,000","$2,619,244","$401,803",,QuietLight,Amazon FBA
Explosive Growth Men’s Beard and Vitamin Brand | $222K SDE with Subscription Revenue,https://quietlight.com/ecommerce-businesses-for-sale/,"$780,000","$936,205","$221,456",,QuietLight,Amazon FBA
Low Priced Custom Products Shopify Business | $2M+ TTM Revenue | $400k+ TTM SDE | 80% Digital Orders,https://quietlight.com/ecommerce-businesses-for-sale/,"$775,000","$2,071,353","$399,095",,QuietLight,Amazon FBA
9 Year Old Commercial-Grade Bathroom Products Business with Recurring Revenue,https://quietlight.com/ecommerce-businesses-for-sale/,"$590,988","$590,988","$76,301",,QuietLight,Amazon FBA
18 yr old Holistic Wellness Product Biz | 46% SDE Margins | 59% Repeat Order Rate,https://quietlight.com/ecommerce-businesses-for-sale/,"$775,000","$483,129","$221,882",,QuietLight,Amazon FBA
SBA Pre-Qualified Diversified Musical Instrument E-Retailer: Exclusive Relationships & Strong YoY Growth,https://quietlight.com/listings/16985558/,"$757,900","$1,029,058","$270,713",,QuietLight,Amazon FBA
10-Year-Old Grilling Amazon Business | 19% Revenue Growth | Wholesale Relationship | Low Workload,https://quietlight.com/ecommerce-businesses-for-sale/,"$748,000","$1,611,419","$250,021",,QuietLight,Amazon FBA
Premium Cannabis Hardware Shopify Brand | $115 AOV | 30% Returning Customer Rate | Ready for Scale,https://quietlight.com/listings/16012265/,"$690,000","$1,113,116","$275,543",,QuietLight,Amazon FBA
16 Year-Old Dropship Site w/ Significant Organic Sales | 47% YOY Sales Growth & 58% YOY SDE Growth,https://quietlight.com/ecommerce-businesses-for-sale/,"$675,000","$856,749","$299,442",,QuietLight,Amazon FBA
