"source","name","price","revenue","profit","multiple","description","url"
"BizBuySell","General Retail","$250,000","$400","$50,0004","","Profitable Amazon FBA Beauty Brand with Amazonâs Choice Product Auto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores","https://www.bizbuysell.com/business-opportunity/auto-part-company-w-full-websites-ebay-amazon-walmart-com-stores/2063617/"
"BizBuySell","General Retail","$500,000","","","","AuctionGeneral RetailMatawan, NJ Online auction: July 14-16, 2025 Prime downtown location Approved plans for multifamily development$500,000 starting bid19Starting bid: $500,000 AuctionREAL ESTATE INC","https://www.ten-x.com/listing/160-main-st-matawan-nj-07747/35790898/?utm_source=BizBuySell&utm_medium=DigitalPublisher&utm_campaign=SRPPlacardRegToBid-AssetMarketing-NA-NA&utm_content=SIID0000-PID0002-NON-0000-NA-TID0000"
"BizBuySell","Modern Turnkey Office with Existing Income","$150,000","","","","AuctionModern Turnkey Office with Existing IncomeLansing, MI Online auction: July 14-16, 2025 Easy access to I-69, I-96, and I-496 Turnkey availability for medical/office use$150,000 starting bid23Sta","https://www.ten-x.com/listing/8161-executive-ct-lansing-mi-48917/35621833/?utm_source=BizBuySell&utm_medium=DigitalPublisher&utm_campaign=SRPPlacardRegToBid-AssetMarketing-NA-NA&utm_content=SIID0000-PID0002-NON-0000-NA-TID0000"
"BizBuySell","Parking Garage/Retail Steps from Boardwalk","$850,000","","","","AuctionParking Garage/Retail Steps from BoardwalkAtlantic City, NJ Online auction: July 7-9, 2025 Prime CBD location near popular attractions In an Opportunity Zone with in-place income$850,000 starti","https://www.ten-x.com/listing/17-s-new-york-ave-atlantic-city-nj-08401/35587361/?utm_source=BizBuySell&utm_medium=DigitalPublisher&utm_campaign=SRPPlacardRegToBid-AssetMarketing-NA-NA&utm_content=SIID0000-PID0002-NON-0000-NA-TID0000"
