source,name,price,revenue,profit,description,url
QuietLight,Electrolyte Brand | US-Based Manufacturing | 65% YoY Growth | 20k Subs | $17.4M Revenue | $2.56M SDE,$17.4M,"$17,442,054","$,","Electrolyte Brand | US-Based Manufacturing | 65% YoY Growth | 20k Subs | $17.4M Revenue | $2.56M SDE Accepting Offers Revenue: $17,442,054 Income: $2,566,134 Amazon FBA Crown Jewel Amazon FBA Asset | $3.3M TTM SDE | 146% YOY Growth + Significant Potential Growth Opps Asking P",https://quietlight.com/listings/16065383/
QuietLight,Crown Jewel Amazon FBA Asset | $3.3M TTM SDE | 146% YOY Growth + Significant Potential Growth Opps,$3.3M,"$16,973,677",,"Crown Jewel Amazon FBA Asset | $3.3M TTM SDE | 146% YOY Growth + Significant Potential Growth Opps Asking Price $20,299,000 Revenue: $16,973,677 Income: $3,340,187 Amazon FBA",https://quietlight.com/amazon-fba-businesses-for-sale/
QuietLight,Distressed $28M Global Footwear Platform | Strategic Liquidation | 21 Channels | Recovery Ready,$28M,"$28,493,004","$1,150,000","Distressed $28M Global Footwear Platform | Strategic Liquidation | 21 Channels | Recovery Ready Accepting Offers Revenue: $28,493,004 Income: $-1,500,356 Ecommerce 25 Year Old Outdoor Sporting Goods Ecommerce Business Asking Price Accepting Offers Revenue: $22,523,47",https://quietlight.com/listings/17339742/
QuietLight,25 Year Old Outdoor Sporting Goods Ecommerce Business,"$22,523,477","$22,523,477",,"25 Year Old Outdoor Sporting Goods Ecommerce Business Asking Price Accepting Offers Revenue: $22,523,477 Income: $2,028,466 Ecommerce",https://quietlight.com/ecommerce-businesses-for-sale/
QuietLight,4+ Year Old SaaS Serves Thousands Of Amazon Sellers,"$10,500,000","$4,416,458",,"4+ Year Old SaaS Serves Thousands Of Amazon Sellers Asking Price $10,500,000 Revenue: $4,416,458 Income: $2,622,691 Saas Business SBA Pre-Qual | Proprietary Saas Tools for Traders, 1700 Customers, Built-in Growth, 4.8 Star Rating Asking Price $10,000,000 Revenue: $6,155",https://quietlight.com/listings/14753270/
QuietLight,4+ Year Old SaaS Serves Thousands Of Amazon Sellers,"$10,500,000","$4,416,458",,"4+ Year Old SaaS Serves Thousands Of Amazon Sellers Asking Price $10,500,000 Revenue: $4,416,458 Income: $2,622,691 Saas Business",https://quietlight.com/saas-businesses-for-sale/
Investors,Vegan Notebook eCommerce Business,"$5,440,000",,,Default Order Newest Listings Oldest Listings Alphabetically Featured Managed by Broker Vegan Notebook eCommerce B,https://investors.club/business/brokered/
