"source","name","price","revenue","profit","multiple","description","url"
"QuietLight","6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche","$2,315,500","$2,173,254","","1.07x","6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche Asking Price $2,315,500 Revenue: $2,173,254 Income: $578,875 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/2/"
"QuietLight","6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche","$2,315,500","$2,173,254","","1.07x","6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche Asking Price $2,315,500 Revenue: $2,173,254 Income: $578,875 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/"
"QuietLight","6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche","$2,315,500","$2,173,254","","1.07x","6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche Asking Price $2,315,500 Revenue: $2,173,254 Income: $578,875 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/5/"
"QuietLight","6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche","$2,315,500","$2,173,254","","1.07x","6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche Asking Price $2,315,500 Revenue: $2,173,254 Income: $578,875 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/7/"
"QuietLight","6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche","$2,315,500","$2,173,254","","1.07x","6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche Asking Price $2,315,500 Revenue: $2,173,254 Income: $578,875 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/6/"
"QuietLight","6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche","$2,315,500","$2,173,254","","1.07x","6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche Asking Price $2,315,500 Revenue: $2,173,254 Income: $578,875 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/4/"
"QuietLight","6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche","$2,315,500","$2,173,254","","1.07x","6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche Asking Price $2,315,500 Revenue: $2,173,254 Income: $578,875 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/3/"
"QuietLight","6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche","$2,315,500","$2,173,254","","1.07x","6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche Asking Price $2,315,500 Revenue: $2,173,254 Income: $578,875 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/9/"
"QuietLight","6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche","$2,315,500","$2,173,254","","1.07x","6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche Asking Price $2,315,500 Revenue: $2,173,254 Income: $578,875 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/10/"
"QuietLight","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships","$2,250,000","$3,968,985","","0.57x","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships Asking Price $2,250,000 Revenue: $3,968,985 Income: $876,060 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/8/"
"QuietLight","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships","$2,250,000","$3,968,985","","0.57x","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships Asking Price $2,250,000 Revenue: $3,968,985 Income: $876,060 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/2/"
"QuietLight","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships","$2,250,000","$3,968,985","","0.57x","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships Asking Price $2,250,000 Revenue: $3,968,985 Income: $876,060 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/"
"QuietLight","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships","$2,250,000","$3,968,985","","0.57x","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships Asking Price $2,250,000 Revenue: $3,968,985 Income: $876,060 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/5/"
"QuietLight","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships","$2,250,000","$3,968,985","","0.57x","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships Asking Price $2,250,000 Revenue: $3,968,985 Income: $876,060 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/7/"
"QuietLight","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships","$2,250,000","$3,968,985","","0.57x","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships Asking Price $2,250,000 Revenue: $3,968,985 Income: $876,060 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/6/"
"QuietLight","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships","$2,250,000","$3,968,985","","0.57x","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships Asking Price $2,250,000 Revenue: $3,968,985 Income: $876,060 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/4/"
"QuietLight","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships","$2,250,000","$3,968,985","","0.57x","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships Asking Price $2,250,000 Revenue: $3,968,985 Income: $876,060 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/3/"
"QuietLight","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships","$2,250,000","$3,968,985","","0.57x","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships Asking Price $2,250,000 Revenue: $3,968,985 Income: $876,060 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/9/"
"QuietLight","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships","$2,250,000","$3,968,985","","0.57x","10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships Asking Price $2,250,000 Revenue: $3,968,985 Income: $876,060 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/10/"
"QuietLight","9-Year-Old Amazon FBA Stationery Brand | 6,000+ Reviews | 4.6-Star Rating | Seller Finance Available","$2,235,000","$4,615,205","","0.48x","9-Year-Old Amazon FBA Stationery Brand | 6,000+ Reviews | 4.6-Star Rating | Seller Finance Available $2,235,000 Revenue: $4,615,205 Income: $638,584 Amazon FBA","https://quietlight.com/listings/16381108/"
"QuietLight","Price Reduced: 8-Year-Old Category-Leading Sleepwear and Socks FBA Business | $8M Revenue | 40,000+ Reviews | Seller Financing Available","$2,200,000","$7,966,554","","0.28x","Price Reduced: 8-Year-Old Category-Leading Sleepwear and Socks FBA Business | $8M Revenue | 40,000+ Reviews | Seller Financing Available $2,200,000 Revenue: $7,966,554 Income: $847,856 Amazon FBA","https://quietlight.com/listings/16844681/"
"QuietLight","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth","$2,050,000","$1,695,058","","1.21x","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth Asking Price $2,050,000 Revenue: $1,695,058 Income: $633,358 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/8/"
"QuietLight","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth","$2,050,000","$1,695,058","","1.21x","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth Asking Price $2,050,000 Revenue: $1,695,058 Income: $633,358 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/2/"
